codigo_antigo,codigo_novo,prefixo_bairro,origem_prefixo
CT-3186,223186,22,posição
CT-3187,223187,22,posição
CT-3188,163188,16,posição
CT-3189,223189,22,posição
CT-3190,223190,22,posição
CT-3191,333191,33,posição
CT-3192,223192,22,posição
CT-3193,223193,22,posição
CT-3194,333194,33,posição
CT-3195,193195,19,posição
CT-3196,193196,19,posição
CT-3197,133197,13,posição
CT-3198,303198,30,posição
CT-3199,193199,19,posição
CT-3200,303200,30,posição
CT-3201,303201,30,posição
CT-3202,303202,30,posição
CT-3203,303203,30,posição
CT-3204,303204,30,posição
CT-3205,303205,30,posição
CT-3206,303206,30,posição
CT-3207,303207,30,posição
CT-3208,303208,30,posição
CT-3209,303209,30,posição
CT-3210,303210,30,posição
CT-3211,303211,30,posição
CT-3212,133212,13,posição
CT-3213,303213,30,posição
CT-3214,133214,13,posição
CT-3215,303215,30,posição
CT-3216,133216,13,posição
CT-3217,133217,13,posição
CT-3218,383218,38,posição
CT-3219,383219,38,posição
CT-4500,314500,31,número (sem posição)
CT-T2728,232728,23,número (sem posição)
CT-T7696,197696,19,posição
CT-T7721,327721,32,número (sem posição)
CT-T8577,198577,19,posição
CT-T8602,178602,17,número (sem posição)
CT-T9128,259128,25,posição
CT-TESTE-01,339001,33,posição
CT-TESTE-02,339002,33,posição
CT-TESTE-03,339003,33,posição
CT-TESTE-04,339004,33,posição
